Number;Start time in milliseconds;End time in milliseconds;"Text"
1;853778;856778;"Prithvi Sonar: yup"
2;855689;858689;"Ayush Jha: yes"
3;1274000;1277000;"SIDDHANT SINGH: did you all open the dashboard?"
4;1282469;1285469;"bhavesh joshi: Yes"
5;1282812;1285812;"Sanjyot Panure: yes"
6;1282932;1285932;"Varshitha Reddy: Yes"
7;1283474;1286474;"sonal shitole: yes"
8;1285724;1288724;"Manali Gadiya: yes"
9;1285869;1288869;"Isha Pathak: yes"
10;1285925;1288925;"Shivam Mahadik: yes"
11;1286222;1289222;"Sakshi Buchade: yes"
12;1287100;1290100;"Nikhil Varghese: yes"
13;1287534;1290534;"umesh inamdar: yep"
14;1287553;1290553;"Bhavin Kothari: Yes"
15;1287573;1290573;"janhavi pawar: yes"
16;1290276;1293276;"SIDDHANT SINGH: great great"
17;1293770;1296770;"manasi joshi: yes"
18;1298081;1301081;"SIDDHANT SINGH: there's some glitch ig"
19;1298980;1301980;"Abhijeet Katore: Yes"
20;1301913;1304913;"SIDDHANT SINGH: please wait"
21;1307152;1310152;"bhavesh joshi: Okay"
22;1321271;1324271;"Sanjyot Panure: ok"
23;1344229;1347229;"Tamal Samanta: Is the cloud being overworked?"
24;1352895;1355895;"Tamal Samanta: Due to so many req at the same time?"
25;1372810;1375810;"Ishali Jadhav: Yes it happens sometimes."
26;1386522;1389522;"bhavesh joshi: There was maintenance on ibm learning today"
27;1399321;1402321;"SIDDHANT SINGH: i dont know man!!! im not placed at ibm still."
28;1402395;1405395;"Ishali Jadhav: Because of the same reason you all faced problems during the node-red deployment"
29;1442603;1445603;"Tamal Samanta: You want to be placed at IBM?"
30;1468123;1471123;"Tamal Samanta: I guess you shouldn't cause their cloud kinda ... :3 iykyk"
31;1491966;1494966;"SIDDHANT SINGH: hahahahahahaha... so funny dude"
32;1780588;1783588;"sonal shitole: yes"
33;1780914;1783914;"Sadiya Shaikh: yes"
34;1781271;1784271;"Varshitha Reddy: Yes"
35;1781787;1784787;"Yukta More: yes"
36;1782252;1785252;"rupali shivpure: yes"
37;1782618;1785618;"umesh inamdar: yaa"
38;1782829;1785829;"Shambhavi Sinha: yupp"
39;1783118;1786118;"rohini rao: yess"
40;1785308;1788308;"tejal wagh: Yes"
41;1786181;1789181;"Aditi Mahale: yes"
42;1787711;1790711;"Yash Panchwatkar: Yes"
43;1790792;1793792;"Aditi Naik: Yes"
44;1796052;1799052;"janhavi pawar: can you repeat"
45;1850135;1853135;"Rudr T: repeat"
46;1919130;1922130;"Rudr T: done"
47;1927056;1930056;"sonal shitole: done"
48;2003499;2006499;"Tamal Samanta: yes"
49;2003715;2006715;"namitaa chandrashekhar: yes"
50;2003919;2006919;"Samiksha Nehe: Yes"
51;2004056;2007056;"Manali Gadiya: yes"
52;2004166;2007166;"Payal Pagariya: yes"
53;2004235;2007235;"Shambhavi Sinha: yupp"
54;2004791;2007791;"Aishwarya Beedkar: yes"
55;2004936;2007936;"Aditi Naik: Yes"
56;2004989;2007989;"Ayush Jha: yes"
57;2005047;2008047;"Arya Pathrikar: Doneyew"
58;2005183;2008183;"Sadiya Shaikh: yes"
59;2005196;2008196;"Shivam Mahadik: yes"
60;2005247;2008247;"sonal shitole: yes"
61;2005288;2008288;"rujula shinde: yes"
62;2005988;2008988;"Nikhil Varghese: yes"
63;2006304;2009304;"Srinevetha A R: Yes"
64;2006482;2009482;"Abhijeet Katore: Yes"
65;2006712;2009712;"Sakshi Buchade: yes"
66;2006955;2009955;"Gayatri Bhatambarekar: yes"
67;2007848;2010848;"Radhika Bhutra: yes"
68;2007978;2010978;"umesh inamdar: yaa"
69;2009237;2012237;"Prithvi Sonar: yup"
70;2130561;2133561;"Ishali Jadhav: Follow the steps properly. Don't miss out on them."
71;2188145;2191145;"Prithvi Sonar: wait"
72;2208479;2211479;"sai nikhilesh: Yes"
73;2212447;2215447;"Navteg Bhalla: yes sir"
74;2218767;2221767;"sonal shitole: what after dialog?"
75;2221780;2224780;"Abhijeet Katore: Yes Done"
76;2232493;2235493;"Prithvi Sonar: i cant get the text on the chatbot"
77;2302778;2305778;"Prithvi Sonar: start from the jarvis text"
78;2307164;2310164;"Abhijeet Katore: Done"
79;2307967;2310967;"akhil bhalerao: how to save"
80;2309322;2312322;"Anjali Mudaliar: yup"
81;2309397;2312397;"Swarnim Rai: repeat anything else"
82;2309471;2312471;"Abhijeet Katore: Yes"
83;2309923;2312923;"tejal wagh: Yes"
84;2322564;2325564;"Prithvi Sonar: so after saving"
85;2331850;2334850;"Prithvi Sonar: the chatbot isnt getting updated"
86;2361366;2364366;"akhil bhalerao: done"
87;2386040;2389040;"Anjali Mudaliar: clear it"
88;2389719;2392719;"Anjali Mudaliar: and try again"
89;2396348;2399348;"Prithvi Sonar: done bro thanks"
90;2473603;2476603;"Vishesh Waghmare: Guys he is repeating it again please pay attention this time"
91;2490779;2493779;"Prithvi Sonar: yes"
92;2685137;2688137;"SIDDHANT SINGH: i hope you all understand that there is some issues from the cloud host side..."
93;2698765;2701765;"Tamal Samanta: Yes, no worries"
94;2705832;2708832;"Sadiya Shaikh: yes"
95;2711595;2714595;"Varshitha Reddy: Yes yes"
96;2715496;2718496;"manasi joshi: yes"
97;2719714;2722714;"sonal shitole: yes"
98;2744176;2747176;"Abhijeet Katore: Yes"
99;2892281;2895281;"sonal shitole: yes"
100;2894185;2897185;"Khushi Dhake: Yes"
101;2894281;2897281;"Arya Pathrikar: Yes"
102;2894608;2897608;"Sadiya Shaikh: yes"
103;2895317;2898317;"Yash Panchwatkar: Yes"
104;2897013;2900013;"Payal Pagariya: yes"
105;2897706;2900706;"Prithvi Sonar: yup"
106;3025044;3028044;"Shambhavi Sinha: is it case sensitive?"
107;3109440;3112440;"Vishesh Waghmare: No"
